"","grid_no","LATITUDE","LONGITUDE","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",106154,50.84381,25.99843,3.7243965700972,2.48691810005348,2.79918136138695,1.01675172400415,2.630885552355,4.28658303308013,1.36880717058339,2.45479617618896,6.13869961549765,1.59950011151088,2.07601485298484,2.31340162937473,5.17444390337016,5.44502830808537,2.92341156257825
"2",107152,51.15846,25.37545,0.868001470677194,2.95596520117261,1.13624221941849,2.21133320895533,2.53151061126912,2.98485269891461,3.23248466784029,1.28288519234793,0.954083538232392,1.94429018696555,4.25203336386716,2.07674401323787,3.82514364091238,4.70779906094203,0.71685766233266
"3",102185,48.01073,35.95044,5.37486231977065,9.36543166683934,8.701321649077,8.81341216923354,7.94869410801511,6.36937017548266,11.4677479894811,9.51779989556103,7.67430896223517,7.7677858022507,13.4353626932038,7.30917858878979,9.44611746809923,10.1370184392422,4.33177934290394
"4",116171,51.99167,32.87521,8.47281314223002,2.09549889749468,4.00857461197892,5.99636462813028,4.72658592071276,4.07896705456306,1.35077413199418,3.24972696766876,1.61176606980947,9.53576872641753,2.0977952529238,1.56175977941846,2.44827042996331,2.13208894847717,3.72670250675033
"5",108147,51.6005,23.68081,0.735943915330018,2.80419380238287,4.15683773073853,9.72126681998195,2.364962095488,1.48382122279735,2.63169278114944,3.04619694243547,4.30357653130138,3.75641363342725,1.56311355273102,1.34977586792942,2.43825316927103,2.11472621964967,1.37421153106339
"6",108151,51.42416,25.09773,0.824087531577115,3.25735013793024,9.46622390886217,2.32475469236933,2.70611887625198,1.23796474465672,6.53183406495118,1.2007559085795,1.94692862853109,4.88618110894277,3.96904479911686,3.38348693998364,1.3756490598067,0.96376325656981,2.4448526724565
"7",109149,51.7341,24.4615,7.53780448877801,1.07811721898057,1.54066872119386,2.0049213574446,3.9064553922018,1.63562301267975,1.40995245979336,4.93423873447649,1.2572344840582,4.94909100217574,2.90755420986435,2.62128949269607,3.72018267820806,4.3400976941812,0.282315739828215
"8",110151,51.86233,25.24703,0.835479172956201,3.85446353578222,1.14711231648855,1.76554591116194,3.39874980831425,1.23413598561021,1.51899991908065,2.04275803622941,0.816291272777872,6.07734708627282,2.81928318827891,4.27563259077349,2.14471702605196,2.74209048024778,3.20127167051037
"9",111151,52.08131,25.32303,3.00881402983121,1.20384876014057,0.327117591467916,0.887422039227046,1.06243002015538,1.43894924411668,2.72401008277906,2.44523974149269,2.17380311489097,1.95574180372683,2.42566360694178,2.06813880255387,1.08831448044798,3.52150637836163,0.957718230019031
"10",101152,49.84319,24.94388,2.85969523543475,4.21081865169059,3.785230755762,3.09566438892195,4.78552193142563,1.15984295086902,2.56676001522775,3.205004497521,1.04483443392331,1.4735676816935,2.10603797896349,2.25306574744855,2.15504476790913,3.2488446169716,6.58995976861502
