"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"14",103180,5.60913865652191,4.47386439367721,6.14918371431018,4.32981016420362,7.81567081201747,8.19545157846217,7.39069709916558,9.29278429516055,4.69381304623936,5.14891329290086,6.71092382085732,8.42635433366871,7.37261169402404
"15",103185,5.047959617845,4.01255406529797,6.08375683014643,4.43518659042219,7.01201410987383,6.87787171106472,8.70185709599394,8.18442185113552,4.85266898351538,6.06689778003034,7.48856815346338,7.66399415588383,7.87993834122129
"16",104187,5.13436708006977,4.21703563259825,6.36990619548162,4.70807597593258,7.46322149379304,7.58569618881212,8.92731071528319,8.29707397361457,5.80325956094404,5.61391366457274,6.47071904726939,7.38961048024669,8.13953653166503
"17",105180,4.65395814222352,5.21642980957194,5.78794969437243,4.46400387759817,8.13156298784171,9.96816684463259,6.27612475176042,8.41041667352715,5.79375086608105,5.41031147679301,4.64711533344008,7.82556076001938,7.30699088279937
"18",105183,5.1501535494192,4.67574689483995,4.94425002282158,4.35893335015788,7.08039285960112,9.59567672210798,7.24692630830812,9.88665791716343,6.00107397926563,5.89061354224033,5.0347408693162,7.86407577759716,7.19383681490391
"19",106183,4.77210093470535,4.74568081818802,4.69738108648948,3.91258200840148,6.94804092591574,9.77109831756861,7.22819638146261,9.6119178210627,5.91742586063547,5.4033639476581,4.44502578562046,7.76862268685512,7.4146920745411
"20",100162,4.59052759528837,2.34623122286577,4.922156224035,2.21064263447652,2.61251147858649,7.12318298333816,3.20731133251693,6.24581200336704,2.30583221739063,4.06506106941511,5.4013927623924,3.95277671910281,5.32417163014906
"21",103160,2.42061251081524,1.87530471178378,3.3531601222503,3.6924871202378,2.11871936526368,7.63312546025326,2.49247754082769,5.30699594507102,1.71525096288989,4.62099774257938,4.66609977896721,3.27935507934611,4.89377419152002
"22",103161,2.52676131706847,2.0472699133102,3.28800090499397,3.56958620220481,2.02330358537068,7.48792469856726,2.43439146297092,5.22734789815567,1.6563749628463,4.51628332060437,5.86911391171645,3.2017088469898,4.72322036881723
"23",96162,4.06364375103695,2.92129195233222,7.24537573713144,1.50701897120329,3.58938937225766,6.40867906036803,3.81123401842752,9.25313395741028,2.25855630677128,3.93792889485495,7.5130080934799,4.75380706613458,6.17958476153528
"24",97160,3.45832505777184,2.30494342252619,4.47413932132938,1.49660942657587,3.71443287590431,5.7811301402134,3.65992046289442,7.65187273218037,2.86658324721874,3.37728564133086,7.33963706478512,4.17490039822485,4.94244105098957
"25",97162,3.81410277850039,2.54514175806079,6.20323434833716,1.74018066712285,3.43265648596011,6.07233508027761,3.94781492201482,8.88737419116928,2.43152182451533,4.04627889495544,7.57866172199043,4.84987674484935,5.97776230366106
"26",109173,2.79187424691809,2.57001969997018,2.14658235274958,3.26547367604827,3.03677661817386,8.71464359957719,4.26584927357452,7.0654905082421,3.58602434468756,4.64219843301891,4.08725222607486,5.97527008408977,3.49056649387403
"27",111171,2.60832753074184,2.06803562505066,1.20285234066251,3.69104615816736,2.54688875920444,10.2414009627614,3.07130904624321,5.96474216285174,2.12295506697514,4.48269718018403,4.10305664212985,4.8686795843029,3.93453146098025
"28",112172,2.59177693442774,2.08306110994968,2.39249891893021,4.17592975252764,2.75376964234721,8.57837506231416,2.73982137932681,5.31835423519504,1.65143315010842,4.06102089955192,4.01969452447966,4.60481305782918,4.48048946490973
"29",112173,2.71338323912389,2.28068723520262,2.51531653684996,4.42578640594957,2.90172777884234,8.64780885722504,2.76359715285516,5.60168980651121,1.79040673342526,4.65120257679717,4.35796652762514,4.76731434921338,4.34509672788584
