"","kap1","kap2","kap3","kap4","kap5","baseline1","baseline2","baseline3","baseline4","baseline5","dmi1","dmi2","dmi3","dmi4","dmi5","ethz1","ethz2","ethz3","ethz4","ethz5","meto1","meto2","meto3","meto4","meto5"
"31",0.01,0.23,0.03,0.12,0.17,0.02,0.2,0.06,0.1,0.19,0.03,0.27,0.09,0.17,0.25,0.08,0.28,0.14,0.19,0.25,0.06,0.31,0.11,0.25,0.29
"32",0.01,0.23,0.03,0.12,0.17,0.02,0.2,0.06,0.1,0.19,0.03,0.27,0.09,0.17,0.25,0.08,0.28,0.14,0.19,0.25,0.06,0.31,0.11,0.25,0.29
"33",0.01,0.12,0.04,0.07,0.1,0.06,0.25,0.06,0.13,0.2,0.02,0.16,0.02,0.09,0.16,0.06,0.29,0.09,0.17,0.23,0.07,0.31,0.16,0.24,0.27
"34",0.01,0.12,0.04,0.07,0.1,0.06,0.25,0.06,0.13,0.2,0.02,0.16,0.02,0.08,0.16,0.06,0.29,0.09,0.16,0.23,0.07,0.31,0.16,0.24,0.27
"35",0,0.13,0.02,0.07,0.1,0.02,0.19,0.08,0.13,0.16,0.01,0.16,0.06,0.1,0.15,0.05,0.36,0.13,0.23,0.34,0.05,0.42,0.1,0.25,0.37
"36",0,0.13,0.02,0.07,0.1,0.02,0.2,0.08,0.13,0.16,0.01,0.16,0.06,0.1,0.15,0.05,0.36,0.13,0.23,0.34,0.05,0.42,0.1,0.24,0.37
"37",0.01,0.12,0.02,0.03,0.12,0.04,0.29,0.09,0.18,0.24,0.04,0.19,0.08,0.1,0.17,0.01,0.28,0.03,0.13,0.25,0.03,0.38,0.1,0.22,0.31
"38",0.01,0.12,0.02,0.03,0.12,0.04,0.29,0.09,0.18,0.24,0.04,0.19,0.08,0.1,0.17,0.01,0.28,0.04,0.13,0.25,0.03,0.38,0.1,0.21,0.31
"39",0.03,0.13,0.03,0.05,0.11,0.03,0.17,0.07,0.11,0.15,0.02,0.21,0.05,0.14,0.18,0.07,0.37,0.1,0.2,0.29,0.08,0.42,0.14,0.27,0.38
"40",0.03,0.13,0.03,0.05,0.11,0.03,0.17,0.07,0.11,0.15,0.02,0.21,0.06,0.14,0.18,0.07,0.37,0.1,0.19,0.29,0.08,0.42,0.14,0.27,0.38
"41",0.02,0.15,0.03,0.09,0.14,0.04,0.23,0.07,0.12,0.18,0.02,0.24,0.07,0.19,0.21,0.07,0.45,0.17,0.29,0.39,0.06,0.39,0.14,0.2,0.33
"42",0.02,0.15,0.03,0.09,0.14,0.04,0.23,0.07,0.12,0.18,0.02,0.24,0.08,0.19,0.21,0.07,0.45,0.18,0.29,0.39,0.06,0.39,0.14,0.2,0.33
"43",0.04,0.16,0.07,0.12,0.15,0.07,0.26,0.11,0.16,0.24,0.05,0.23,0.08,0.15,0.21,0.02,0.26,0.11,0.16,0.25,0.08,0.58,0.18,0.31,0.49
"44",0.04,0.16,0.07,0.12,0.15,0.07,0.26,0.11,0.16,0.24,0.05,0.23,0.08,0.15,0.21,0.02,0.26,0.11,0.16,0.25,0.08,0.58,0.18,0.31,0.49
"45",0.03,0.15,0.05,0.08,0.15,0.03,0.25,0.1,0.14,0.19,0.05,0.32,0.08,0.15,0.3,0.06,0.33,0.1,0.18,0.29,0.03,0.34,0.13,0.23,0.32
"46",0.04,0.15,0.05,0.08,0.15,0.03,0.25,0.1,0.14,0.19,0.05,0.32,0.08,0.15,0.3,0.06,0.33,0.1,0.18,0.29,0.03,0.34,0.13,0.23,0.32
"47",0.02,0.13,0.03,0.06,0.1,0.06,0.28,0.1,0.15,0.23,0.04,0.26,0.09,0.14,0.21,0.03,0.29,0.05,0.14,0.22,0.06,0.41,0.16,0.22,0.33
"48",0.02,0.13,0.04,0.06,0.1,0.07,0.28,0.11,0.14,0.23,0.05,0.28,0.09,0.12,0.21,0.03,0.29,0.07,0.12,0.22,0.07,0.43,0.18,0.21,0.33
"49",0.02,0.15,0.03,0.05,0.13,0.06,0.26,0.09,0.1,0.22,0.04,0.29,0.08,0.12,0.22,0.11,0.39,0.17,0.19,0.34,0.07,0.48,0.13,0.18,0.41
"50",0.02,0.15,0.04,0.04,0.13,0.06,0.28,0.09,0.1,0.22,0.04,0.3,0.08,0.1,0.22,0.11,0.41,0.18,0.19,0.34,0.07,0.5,0.14,0.16,0.41
"51",0,0.2,0.05,0.05,0.13,0.02,0.27,0.1,0.11,0.21,0.04,0.23,0.12,0.12,0.16,0.07,0.28,0.09,0.11,0.22,0.08,0.4,0.1,0.1,0.27
"52",0,0.2,0.05,0.05,0.13,0.02,0.27,0.1,0.11,0.21,0.04,0.23,0.12,0.12,0.16,0.07,0.28,0.09,0.11,0.22,0.08,0.4,0.1,0.1,0.27
